Country,Name,NumberOfRatings,Price,Rating,Region,Tipology,Winery,Year,_id
France,Château Les Cruzelles Lalande-de-Pomerol 2015,61,33.95,3.8,Lalande-de-Pomerol,red,Denis Durantou,2015,60f33d7f00b871aef201f327
Portugal,Grande Reserva 2013,61,29.9,4.5,Alentejano,red,Herdade Grande,2013,60f33d7f00b871aef201f328
Italy,Vürsù Barbaresco Starderi 2014,61,115.7,4,Barbaresco,red,La Spinetta,2014,60f33d7f00b871aef201f329
South Africa,Shiraz 2017,61,7.6,3.5,Durbanville,red,Durbanville Hills,2017,60f33d7f00b871aef201f32a
Italy,Via Nuova Barolo 2015,61,69.48,4,Barolo,red,E. Pira & Figli,2015,60f33d7f00b871aef201f32b
Italy,Salice Salentino 2016,61,5.49,3.7,Salice Salentino,red,Caleo,2016,60f33d7f00b871aef201f32c
Italy,Corvina Veronese 2017,61,5.9,3.7,Verona,red,Castelforte,2017,60f33d7f00b871aef201f32d
France,"L'Atelier Malbec de Crocus 2016",61,17.07,3.8,Cahors,red,Crocus,2016,60f33d7f00b871aef201f32e
France,Pomerol 2017,61,95.53,3.9,Pomerol,red,Château Gazin,2017,60f33d7f00b871aef201f32f
Italy,Barolo Fossati 2014,61,63.07,4,Barolo,red,Borgogno,2014,60f33d7f00b871aef201f330
South Africa,Ulumbaza Red 2012,61,11.8,3.9,Walker Bay,red,Springfontein,2012,60f33d7f00b871aef201f331
France,Clos St. Antonin Côtes-du-Rhône 2017,61,10.9,4,Côtes-du-Rhône,red,Domaine de la Janasse,2017,60f33d7f00b871aef201f332
Italy,"Rocca Ventosa Montepulciano d'Abruzzo 2019",61,4.9,3.6,"Montepulciano d'Abruzzo",red,Cantina Tollo,2019,60f33d7f00b871aef201f333
